Questions,Answers
"কোনো SDO(Self Drawing Officer)  হিসাবে বেতন বিল দাখিলের পর দেখা গেলো তিনিই সংশ্লিষ্ট অফিস এর ডিডিও. এই ক্ষেত্রে করণীয় কি ?
kono SDO hisabe beton bill dhakhiler por dekha gelo tinie songslisto office er DDio. ei khetre koronio ki ?
","হেল্পডেস্কের সহায়তায় DDO (Drawing and Disbursing Officer) Role প্রাপ্তির জন্য Treasury Rule SR  ৬৫ অনুযোগে DDO নিয়োগের জন্য মন্ত্রণালয় থেকে প্রদত্ত GO থাকতে হবে।এবং FIll-up  কর্তৃক DDO Information Form  দাখিল করতে হবে
"
"iBAS++  একজন কর্মকর্তার NID (Pay Fixation এর সাথে মিল রেখে) সংশোধনের প্রক্রিয়া কি ?
ekjon kormokortar NID (Pay Fixation er sathe mil rekhe) songshodhoner prakriya ki ?
","কোনো কর্মকর্তার NID নম্বর পরিবর্তন করার জন্য নিচের ধাপগুলো অনুসরণ করতে হবে
*Master Data- Employee Management- Change Employee NID নির্বাচন করতে হবে
*Pay Point: এই ঘরে Pay Point সয়ংক্রিয়ভাবে প্রদর্শিত হবে
*Ministry:  এই Ministry নির্বাচন করতে হবে
*DDO: এই  ঘরে  DDO নির্বাচন করতে হবে
*Office Code: সয়ংক্রিয়ভাবে প্রদর্শিত হবে
*GO বাটনে ক্লিক করলে নিচে Employee  অংশে Existing NID, Name, Designation , New NID , Save বাটন প্রদর্শিত হবে
*New NID: এই  ঘরে সঠিি NID টাইপ করে বাটনে ক্লিক করতে হবে"
"iBAS++  একজন কর্মকর্তার একাধিক NID থাকলে করণীয় কি?
ibas++ e ekjon kormokorta ekadhik NID thakle koronio ki?
","CAFO/DCA এর মাধ্যমে Merge Employee NID মেনু ব্যবহার করে একাধিক NID Marge করতে হবে
Multiple NIDs must be Marge using Merge Employee NID menu via CAFO/DCA
"
"Employee Status স্ক্রীন  কেন্ ব্যবহার করা হয়?
Employee Status screen ken bebohar kora hoi?
","Employee Status থেকে   Employee - NID  Employee Name, Employee Type, Pay Point, Designation, Date of Birth, Mobile no, Office, Own DDO, GPF Number, Bank/ branch Office এবং কোন DDO এর অধীনে entry  করা আছে তা অবগত হওয়া যায়
"
"ডিডিও কর্তৃক Budget Execution --> Master Data  তে কোনো কর্মচারির NID এর সপক্ষে স্টাফ ইনফরমেশন এন্ট্রি তে তথ্য এন্ট্রি করার সময় error মেসেজ প্রদর্শিত হয় Invalid NID with DOB  এই ক্ষেত্রে করণীয় কি  ?
ddo kortik Budget Execution --> Master Data te kono kormocharir NID er Sapkhe Staff Information Entry te totya entry korar somoy error message prodorshito hoi  “Invalid NID with DOB” ei khetre koronio ki ?
","Staff এর Budget Execution-->Master Data-->Employee Information Entry এ এন্ট্রিকৃত NID, Pay Fixation NID এর সাথে সঙ্গতিপূর্ণ না হলে এরূপ মেসেজ প্রদর্শিত হয়
"
"একজন Employee (Personal, Family & Bank)এর তথ্য এন্ট্রির পর সেভ বাটনে ক্লিক করার সময় এরর মেসেজ প্রদর্শিত হয় ‘Invalid date’. এই ক্ষেত্রে করণীয় কি?
ekjon Employee (Personal, Family & Bank) er totty entrir por save buttone click korar somoy error message prodorshito hoi. ei khetre koronio ki?
","Pay Fixation এর ৬(ক) চাকুরিতে প্রথম যোগদানের তারিখ ফাঁকা অথবা সঠিক না হলে এরূপ মেসেজ প্রদর্শিত হয়
"
"iBAS++ এ একজন এমপ্লয়ী এর তথ্য Approve করার পর তার নিজের পিত/মাতার নাম সংসদন এর জন্য করণীয় কি?
ibas++ e ekjon employee er totty approve korar por tar nijer pita/matar naam songshodon er jonno koronio ki?
","Master Data->Employee Management->Employee Basic Information ->Select Employee Type->NID->Go->NID Info Re-Fetch বাটনে ক্লিক করলে বাংলা নাম  NID এর স্বপক্ষে প্রদর্শিত হবে, ইংরেজি নাম টাইপ করতে হবে
"
"iBAS++  এ তথ্য এন্ট্রি করার সময় ‘First joining date/office not found in Pay Fixation’ মেসেজ প্রদর্শিত হলে করণীয় কি?
iBAS++ e totty entry korar somoy first joining date not found message prodorshito hole koronio ki ?
","Respective Accounts office  থেকে Pay Fixation এর তথ্য  Correction িরবে হবে (Pay Fixation >Verified data Fixation” correction মেনু ব্যবহার করে ) ।
"
"iBAS++ এ তথ্য এন্ট্রি করার সময় কোনো কর্মচারীর স্বামী/স্ত্রী এর NID না থাকলে করণীয় কি?
iBAS++ e totya entry korar somoy kono kormocharir shami/stri er NID na thakle koronio ki?
","iBAS++ স্বামী/স্ত্রী এর NID বাধ্যতামূলক.  NID  না থাকলে খালি রাখতে হবে.  যত দ্রুত সম্ভহব নিবন্ধন পূর্বক তথ্যাদি এডিট করে এন্ট্রি করতে হবে
"
"3111306- এডুকেশন এলাউন্স এর ক্ষেত্রে সন্তানের বয়স (৫-২৩) হলে, কিন্তু মা বাবা দুইজনেই সরকারি কর্মচারী হলে সন্তানের শিক্ষা ভাতা প্রাপ্যতার ক্ষেত্রে করণীয় কি?
 3111306-education allowance er khetre sontaner boys (5-23) hole, kintu ma baba duijonei sorkari kormochari hole sontaner shikkha vata prappotar khetre koronio ki?
","স্বামী/স্ত্রী যেকোনো একজন সন্তানের তথ্য লিখবেন, তবে শিক্ষা ভাতা পাবেন একজনের বেতনের সাথে. সন্তানের শিক্ষা ভাতা প্রাপ্যতার ক্ষেত্রে মা কে প্রাধান্য দেওয়া হবে
"
"মাস্টার ডাটা তে কোনো কর্মচারির NID এর সাপেক্ষে Employee Information Entry/Staff Information Entry (New) Error মেসেজ প্রদর্শিত হয়. ‘Your pay point is not matched with the pay fixation of this employee. Please check the fixation or contact with Account office to his fixation.’ তে তথ্য এন্ট্রি করার সময় এরর মেসেজ প্রদর্শিত হয়. এই ক্ষেত্রে করণীয় কি?
Master data te kono kormocharir NID er shapekkhe Employee information entry te totya entry korar somoy error message  ‘Your pay point is not matched with the pay fixation of this employee. Please check the fixation or contact with Account office to his fixation.’  prodorshito hoi. ei khetre koronio ki?
",Respective Accounts office  থেকে Pay Fixation এর তথ্য  Correction করতে হবে
"মাসের মাঝামাঝি সময় যে কেউ চাকুরীতে যোগদান করলে ibas++ থেকে বেতন প্রাপ্তির প্রক্রিয়া কি?
masher majhamaji somoy e keu cakurite jogdan korle ibas++ theke beton praptir prakriya ki?
",আংশিক (Partial) বিল হলে হিসাবরক্ষন অফিসের মাধ্যমে ম্যানুয়ালি (হার্ড কপিতে) বিল দাখিল করতে হবে
"কর্মচারীর তথ্য আগে এন্ট্রি করতে হবে নাকি গ্রুপ আগে তৈরী করতে হবে?
kormocharir totya aage entry korte hbe naki group aage toiri korte hbe?
","আগে কর্মচারীর তথ্য এন্ট্রি করতে হবে, অতঃপর গ্রুপ তৈরি করতে হবে"
"এমপ্লয়ী স্যালারী ইনফরমেশন এ বেতন ভাতা এবং কর্তনে অর্থনৈতিক কোডের বিপরীতে টাকার তথ্য দেওয়া আছে - এই ক্ষেত্রে করণীয় কি?
Employee salary information e beton vata ebong kortone orthonoitik koder biporite takar totya deoaa ache kintu beton bill e ta prodorshon kore na.ei khetre koronio ki?
","Office code এর বিপরীতে economic code permission  না থাকলে, Helpdesk  এর সহায়তা নিতে হবে "
"অনলাইন এ বেতন বিল সাবমিট করার সময় একজন কর্মকর্তা তার Salary month খুঁজে পাচ্ছেন না , এই ক্ষেত্রে করণীয় কি?
online e beton bill submit korar somoy ekjon kormokorta tar salary month khuje pacchen na , ei khetre koronio ki?
","একজন কর্মকর্তা একই Salary Month এ একাধিক বেতন বিল দাখিল করতে পারবেন না। এক্ষেত্রে উক্ত কর্মকর্তার ওই Salary Month এর Token পূর্বেই লেগেছে কিনা তা যাচাই করতে হবে. সংশ্লিষ্ট মাসের বেতনের টোকেন নম্বর সহ বেতনের তথ্য খোঁজার জন্য রিপোর্ট থেকে অবগত হতে হবে, ইতিমধ্যেই ওই মাসের বেতন বিল দাখিল করেছেন কিনা।
 যোগদানকৃত মাসে আংশিক বিল হলে হিসাবরক্ষণ অফিসের মাধ্যমে ম্যানুয়ালি বিল দাখিল করতে হবে।"
"অনলাইন এ বেতন বিল সাবমিট করার পর একজন কর্মকর্তা জানতে পারলেন বেতন বিলটি তার ডিডিও এর ID তে ফরওয়ার্ড করার জন্য খুঁজে পাওয়া যাচ্ছে না, এই ক্ষেত্রে করণীয় কি?
online e beton bill submit korar por ekjon kormokorta jante parlen beton bilti tar ddo er id te forward korar jonno khuje paoaa jache ne, ei khetre koronio ki?
","হিসাবরক্ষন অফিস Employee Status থেকে Employee - NID এর সাপেক্ষে Employee Name, Employee Type, Pay Point, Designation, Date  of Birth, Mobile no, Office, Own DDO, GPF Number, Bank/branch Office এবং কোন DDO  এর অধীনে এন্ট্রি করা আছে তা অবগত হতে হবে, এবং সঠিক ডিডিওর দিয়েই বেতন বিল Forward করতে হবে"
"PRL বিল কিভাবে এন্ট্রি দিতে হয়?
PRL bil kivabe entry dite hoi?
",Master Data-->Service Stage Management-->PRL Entry অপশনে সঠিকভাবে বিস্তারিত এন্ট্রি দিয়ে সংরক্ষণ করুন. হিসাবরক্ষণ অফিস/ডিডিও কর্তৃক PRL এর তথ্য অনুমোদন করার পর পুর্ন মাসের বিল এবং আংশিক বিল হলে হিসাবরক্ষন অফিসের মাধ্যমে ম্যানুয়ালি (হার্ড কপিতে) বিল দাখিল করতে হবে
"Master Data → Service Stage Management কি?
Master Data → Service Stage Management ki?
","Service Stage Management: iBAS++ হতে সরকারি চাকুরিজীবীদের সেবা গ্রহণ সুবিধা এবং হিসাব রক্ষণ অফিসে যাওয়া-আসার ঝামেলা এড়ানোর লক্ষ্যে নিজের চাকুরী ও বেতন সংক্রান্ত সকল সেবা ঘরে বসেই যাতে নিশ্চিত করতে পারেন সে জন্য Service Stage শিরোনামে নিম্মবর্ণিত নতুন অপশনগুলি iBAS++ সিস্টেমে সংযোজন করা হয়েছে. 
Service Stage Management ক্লিক করার পর এর অধীনে পর্যায়ক্রমে :
* Attachment: (একটি দপ্তরে স্থায়ী পদ ধারী কর্মকর্তা তার মূল পদের বিপরীতে একি মন্ত্রণালয়/বিভাগের মধ্যে অন্য কোন দপ্তরে সংযুক্ত থেকে সাময়িক কাজ করা)
* PRL:  অবসর উত্তর ছুটি সুবিধা 
* Deputation: 
* Deputation (Budgetary Central Govt): (সরকারি রাজস্ব বাজেট ভুক্ত এক মন্ত্রণালয়/বিভাগেরএর কর্মকর্তা সরকারি রাজস্ব  বাজেট ভুক্ত অন্য কোন মন্ত্রণালয়/বিভাগে সংযুক্ত থেকে সাময়িক কাজ করা)
* Deputation (Outside the budgetary central government): (আধাসরকারি/স্বায়ত্তশাসিত সংস্থা/উন্নয়ন প্রকল্প/ বেসরকারি সংস্থা বা বিদেশী সরকার বা সংস্থাই সাময়িকভাবে কাজ করা)
* Lien: সরকারি রাজস্ব বাজেট ভুক্ত এক মন্ত্রণালয়/বিভাগেরএর কর্মকর্তা চাকুরীর মূল পদের স্বত্ব অক্ষুন্ন রেখে সরকারের অনুমতি সাপেক্ষে সরাসরি রাজস্ব বহির্ভুত কোনো প্রকল্প/কর্মসূচি/সংস্থা বা প্রতিষ্ঠানের সাময়িকভাবে কাজ করা
* Suspension: চাকুরী থেকে সাময়িক বরখাস্ত
* Leave: ছুটি
"
"Partial Bill কি?
Partial Bill ki?
","চাকুরীর স্টেজ সমূহের [“Attachment” , “PRL Entry ”, “Deputation)”, “Lien”, “Suspension” ,‘‘Leave”] আৰম্ভ সকল ক্ষেত্রে যে কোনো ক্যালেন্ডার মাসের ১ তারিক হয়না এবং শেষ ক্যালেন্ডার মাসের সর্বশেষ তারিখে হয়না. সার্ভিসে স্টেজ পরিবর্তনের সাথে সাথে অধিকাংশ ক্ষেত্রে ভাতাদির হাড়ের পরিবর্তন ঘটে | যে সকল ক্ষেত্রে আরম্ভ এবং সমাপ্তি যথাক্রমে মাসের প্রথম ও শেষ তারিখ না হওয়ায় মধ্যবর্তী যে কোনো তারিখে হয় সে সকল ক্ষেত্র আংশিক বিল প্রাপ্য হয় "
"Map Office with Region এবং  Map Employee with Region কখন ব্যবহার করতে হয়?
Map Office with Region ebong Map Employee with Region kokhon bybohar korte hoi ?
","ক) Map Office with Region -সকল কর্মকর্তা/কর্মচারী অফিসার অবস্থান যদি এলাকার বাহিরে হয় সে ক্ষেত্রে এই অপসন ব্যবহার করতে হয়।
খ) Map Employee with Region- সংশ্লিষ্ট অফিসটির অবস্থান সিটি এলাকায় কিন্তু কর্মকতা/কর্মচারীদের একটি অংশের কর্মস্থল সিটি এলাকার বাহিরে হলে সে ক্ষেত্রে এই অপসন ব্যবহার করতে হয়
সতর্কতা : যে সকল সিটি এলাকার বর্ণিত সমস্যা বিরাজমান শুধুমাত্র ওই সকল এলাকার হিসাবরক্ষণ অফিসার জন্য এ ২টি অপসন যোগ করা হয়েছে । সকল হিসাবরক্ষণ অফিসার জন্য এই অপশনগুলো প্রযোজ্য নয়।"
"সন্তানের জন্ম নিবন্ধন না থাকলে তার নাম অ্যাড করা যাবে কিনা?
Sontaner jonmo nibondhon na thakle tar naam add kora jabe kina?
","নাম অ্যাড করা যাবে না, খালি রাখতে হবে. যত দ্রুত সম্ভব জন্ম নিবন্ধন পূর্বক তথ্যাদি এডিট করে জন্ম নিবন্ধন এন্ট্রি দিতে হবে ।"
"ভবিষ্যৎ তহবিলে নমিনির নাম পরিবর্তন করা যাবে কিনা?
vobishyot tohobile nominir naam poriborton kora jabe kina?
",যাবে । জিপিএফ ৯ব এবং ৯সি ফরম পূরণ করে যে হিসাব রক্ষণ অফিসে হিসাব খুলেছেন সে অফিসার এর মাধ্যমে নমিনী পরিবর্তন করতে পারবেন ।
"একজন কর্মকর্তার বেতন বিলের যে কোনো তথ্য পৰিবৰ্তন করার পর সেভ বাটন এ ক্লিক করলে এরর মেসেজ ‘Basic amount does not match with pay fixation amount’ ’প্রদর্শিত হয়, এই ক্ষেত্রে করণীয় কি?
ekjon kormokortar beton biller je kono totya proiborton korar por save button e click korle error message ‘Basic amount does not match with pay fixation amount’ prodorshito hoi, ei khetre koronio ki?
","* Reports মেনু হতে  Pay Fixation Detail Report নির্বাচন করতে হবে ।
* জাতীয় পরিচয় পত্র(NID) নম্বর: এই ঘরে NID  টাইপ করে তথ্য দেখুন বাটনে ক্লিক করতে হবে । এরপর রিপোর্ট থেকে কর্মকর্তার মূল বেতন দেখে নিতে হবে ।

*  Master Data-->Employee Management-->Employee Salary Information নির্বাচন করতে হবে ।
*   Employee Type: GOB Officer নির্বাচন করতে হবে ।
*   NID টাইপ করে GO  বাটনে ক্লিক করতে হবে । 
*   Emoluments and Allowances : এই অংশে Economic- 3111101- Basic pay (Officer) এর Amount এর  Detail Report এ প্রদর্শিত বেতনে পার্থক্য আছে কিনা দেখুন । 
*  মূল বেতন পার্থক্য পরিলক্ষিত হলে (ইনক্রিমেন্ট না লাগলে) প্রথমে বেতন নির্ধারণী হাল নাগাদ করতে হবে । 
*  তারপর Employee Information Entry (Single Step) হতে  Economic- 3111101- Basic pay (Officer) Amount সঠিক করে সেভ বাটনে ক্লিক করতে হবে । 
"
"যদি কোনো কর্মকর্তা জুলাই মাসে তার বেতন বিল GPF এর চাঁদা হ্রাস/বৃদ্ধি করতে চান সেক্ষেত্রে করণীয় কি?
jodi kono kormokorta july mashe tar beton bill GPF er chandaa hrash/briddhi korte chan sekhetre kornio ki?
"," * Accounting Transaction-GPF মেনু হতে GPF Subscription Configuration নির্বাচন করতে হবে।
 * Pay Point: স্বয়ংক্রিয়ভাবে প্রদর্শিত হবে।
 * National ID:  NID টাইপ করে GO  বাটনে ক্লিক করতে হবে । 
 * Employee Name, Current Office, GPF A/C No, Current Basic Pay, Subscription   Amount,  Commencement Date স্বয়ংক্রিয়ভাবে প্রদর্শিত হবে ।
 * Subscription Amount : এই  ঘরে GPF এর চাঁদার পরিমাণ পরিবর্তন করে সেভ বাটনে ক্লিক করতে হবে ।"
"যদি কোনো কর্মকর্তা তার বেতন বিল GPF এর চাঁদা কর্তন করতে না চান সেক্ষেত্রে করণীয় কি?
jodi kono kormokorta tar beton bill GPF er chandaa korton korte na chan sekhetre kornio ki?
"," * Accounting Transaction-GPF মেনু হতে GPF Subscription Configuration নির্বাচন করতে হবে।
 * Pay Point: স্বয়ংক্রিয়ভাবে প্রদর্শিত হবে।
 * National ID:  NID টাইপ করে GO  বাটনে ক্লিক করতে হবে । 
 * Employee Name, Current Office, GPF A/C No, Current Basic Pay, Subscription   Amount,  Commencement Date স্বয়ংক্রিয়ভাবে প্রদর্শিত হবে ।
 * Active বক্সের টিক চিহ্ন তুলে দিয়ে সেভ বাটনে ক্লিক করতে হবে ।
 * Subscription Amount : এই  ঘরে GPF এর চাঁদার পরিমাণ পরিবর্তন করে সেভ বাটনে ক্লিক করতে হবে । "
"কেউ যদি GPF এর ইন্টারেস্ট দিতে না চান তাহলে কি করবেন?
keu jodi GPF er interest dite na chan tahole ki korben?
","* GPF-->GPF Master Data-->GPF Subscription Configuration মেনু নির্বাচন করতে হবে।
* Pay Point: স্বয়ংক্রিয়ভাবে প্রদর্শিত হবে।
* National ID:  NID টাইপ করে GO  বাটনে ক্লিক করতে হবে । 
* Employee Name, Current Office, GPF A/C No, Current Basic Pay, Subscription   Amount,  Commencement Date স্বয়ংক্রিয়ভাবে প্রদর্শিত হবে ।
* Exclude Interest বক্সের টিক চিহ্ন  দিয়ে সেভ বাটনে ক্লিক করতে হবে ।
"
"অনলাইন এ বেতন বিল দাখিলকারী একজন কর্মকর্তা বেতন বিলের রিপোর্ট এ দেখলেন বাংলায় নাম সঠিকভাৱে প্রদর্শিত হচ্ছে না, এই ক্ষেত্রে করণীয় কি?
online e beton bill dakhilkari ekjon kormokorta beton biller report e dekhlen banglai naam sothikvhabe prodorshito hocche na, ei khetre koronio ki?
"," হিসাবরক্ষণ অফিসের মাধ্যমে  Master Data -> Employee Management ->Employee Basic Information ->Select Employee Type->NID->Go->NID Info Re-Fetch অপশনে ক্লিক করলে বাংলা নাম স্বয়ংক্রিয়ভাবে NID এর সাপেক্ষে প্রদর্শিত হবে,  ইংরেজি নাম টাইপ/এডিট করতে হবে ।"
"Master    Data-->Employee    Management-->Employee   Salary   Information  একজন কর্মকর্তার বেতন বিল কনফিগারেশন এর সময় ডেডুকেশন অংশে BF, GI এবং stamp duty entry অ্যাড করতে হবে কিনা?
Master    Data-->Employee    Management-->Employee   Salary   Information - e ekjon kormokortar beton bill configuration er somoy deduction ongshe BF,GI ebong stamp duty entry add korte hbe kina?
","কর্মকর্তার বেতন বিল এ BF, GI এবং Stamp duty স্বয়ংক্রিয়ভাবে  যুক্ত হয়, এইজন্য নতুন করে Employee Salary Information -এ BF, GI এবং Stamp duty করতে হবে না ।"
"যদি কোনো কর্মকর্তা (পেনশনে নিযুক্ত CGDF অংশের) BF/GI বেতন বিল হতে কর্তন করতে না চান তাহলে কি করবেন?
jodi kono kormokorta (pensione nijukto C G D F ongsher) beton bill hote korton korte na chan tahole ki korben?
"," * Master data→ Employee Management মেনু হতে BF/ GI Exception নির্বাচন করতে হবে।
 * Pay Point: স্বয়ংক্রিয়ভাবে প্রদর্শিত হবে।
 * National ID:  NID টাইপ করে GO  বাটনে ক্লিক করতে হবে । 
 * Employee Name, Designation, Office স্বয়ংক্রিয়ভাবে প্রদর্শিত হবে । 
 * Employee On Extension বক্সে টিক চিহ্ন  দিয়ে Extension Period From and To নির্বাচন করে Save বাটনে ক্লিক করতে হবে । "
"হিসাবরক্ষণ অফিসার চেক ইনফরমেশন অন্য হিসাবরক্ষণ অফিস বহুলক্রমে দিয়ে ফেলেছে, এই ক্ষেত্রে করণীয় কি?
hisabrokkhon officer cheque information onya hisabrokhon office vhulkrome diey feleche, ei khetre koronio ki?
","* Accounting Transaction-এর Cheque মেনু হতে Change Cheque Book Pay Point নির্বাচন করতে হবে।
* Cheque Book No: এই ঘরে  চেকের বই নম্বর নির্বাচন করতে হবে।
* Cheque Series, Cheque No, Existing Pay Point স্বয়ংক্রিয়ভাবে প্রদর্শিত হবে । 
* New Pay Point: এই ঘরে হিসাবরক্ষণ  অফিস নির্বাচন করে Save বাটনে ক্লিক করতে হবে । "
"এক টোকেনের চেক ভুল করে অন্য টোকেনে এন্ট্রি করে ফেলেছেন, এইক্ষেত্রে কিভাবে সঠিক টোকেন যে সঠিক চেক এন্ট্রি করবেন?
ek tokener cheque vul kore onya tokene entry kore felechen, eikhetre kivabe sothik token e sothik cheque entry korben?
","বাংলাদেশ ব্যাংকে Bank Advice প্রেরণের এর পূর্ব পর্যন্ত চেক নম্বর সঠিক করা যাবে । এক্ষেত্রে মনে রাখতে হবে যে, CGA অফিস থেকে প্রতিদিন দুপুর ১২টা এবং ২.৩০টাই  বাংলাদেশ ব্যাংকে Bank Advice Electronically প্রেরণ করে থাকে । Bank Advice প্রেরণের পূর্ব পর্যন্ত নিম্মবর্ণিত পদ্ধতি তে সংশোধন করা যাবে:
* Accounting Transaction-Cheque মেনু হতে Edit Cheque Number নির্বাচন করতে হবে।
* Fiscal Year: এই ঘরে Fiscal Year নির্বাচন করতে হবে।
* Token No:  এই ঘরে Token No  টাইপ করে GO  বাটনে ক্লিক করতে হবে ।
* Month, Token Date, DDO, Payee Name, Current Cheque Number, Cheque Issue Date স্বয়ংক্রিয়ভাবে প্রদর্শিত হবে ।
* New Cheque Number: এই ঘরে চেকের সিরিজ নম্বর নির্বাচন করে চেকের নম্বর টাইপ করতে হবে ।
* Save বাটনে ক্লিক করতে হবে ।
"
